source,title,description,publishedAt,url
Biztoc.com,Earnings Live:,"Live Updates
 Live Coverage
 Updates appear automatically as they are published.
 
Shares Surge on Strong Earnings
 4:34 pm
 by Joel South
 
Shares of RBRK soared in after-hours trading after reporting strong Q1 results. The stock is up 6.02% since the close.…",2025-06-05T21:04:45Z,https://biztoc.com/x/ed0f6af7b85c43db
Financial Post,Centerra Gold Publishes 2024 Sustainability Report,"TORONTO, June 05, 2025 (GLOBE NEWSWIRE) — Centerra Gold Inc. (“Centerra” or the “Company”) (TSX: CG) (NYSE: CGAU) announces that it has published its 2024 Sustainability Report, which outlines the Company’s performance on Environmental, Social and Governance …",2025-06-05T21:04:34Z,https://financialpost.com/globe-newswire/centerra-gold-publishes-2024-sustainability-report
Biztoc.com,Justice Department moves to confiscate $7.7 million of allegedly stolen crypto as North Korean IT workers infiltrate U.S. companies,"The U.S. Department of Justice (DOJ) wants to confiscate $7.7 million worth of cryptocurrency seized in connection with an alleged scheme to launder money on behalf of the North Korean government. 
The DOJ filed a civil forfeiture complaint—a type of civil la…",2025-06-05T21:04:23Z,https://biztoc.com/x/72e82a4699f510c4
Securityaffairs.com,U.S. CISA adds Google Chromium V8 flaw to its Known Exploited Vulnerabilities catalog,U.S. Cybersecurity and Infrastructure Security Agency (CISA) adds a Google Chromium V8 vulnerability to its Known Exploited Vulnerabilities catalog. The U.S. Cybersecurity and Infrastructure Security Agency (CISA) added Google Chromium V8 Out-of-Bounds Read a…,2025-06-05T21:03:56Z,https://securityaffairs.com/178678/security/u-s-cisa-google-chromium-v8-flaw-known-exploited-vulnerabilities-catalog.html
GlobeNewswire,Trump Media Files S-3 Registration Statement for Previously Announced Bitcoin Treasury Deal,"Company Advances Ambitious Plans with Bitcoin Treasury Strategy, Universal Shelf Company Advances Ambitious Plans with Bitcoin Treasury Strategy, Universal Shelf",2025-06-05T21:03:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094817/0/en/Trump-Media-Files-S-3-Registration-Statement-for-Previously-Announced-Bitcoin-Treasury-Deal.html
CoinDesk,"Bitcoin Threatens $100K, Crypto Losses Grow as Musk/Trump Feud Goes Nuclear","Musk accused Trump of being implicated with Jeffrey Epstein, while Trump threatened to terminate all of his government contracts.",2025-06-05T21:01:37Z,https://www.coindesk.com/markets/2025/06/05/bitcoin-threatens-100k-crypto-losses-grow-as-musktrump-feud-goes-nuclear
ABC News (AU),Last Eungella dairy closing as milk becomes 'cheaper than water',"The owners of the last dairy farm in a Queensland region that once had about 60 say ""big business rolls over the top of everything you do"", as they prepare to shut down.",2025-06-05T21:00:55Z,https://www.abc.net.au/news/2025-06-06/last-eungella-dairy-farm-closes-with-rising-production-costs/105375046
Bitcoinist,"Ethereum’s Impending Breakout From Key Chart Pattern Teases A Major Rally To $12,000","In recent market gains, Ethereum seems to be leading the charge, having seen notable gains ahead of major digital assets like Bitcoin, especially in the second quarter of this year. Although ETH’s upward trend has slowed down lately, the asset remains primed …",2025-06-05T21:00:49Z,https://bitcoinist.com/ethereums-impending-breakout/
GlobeNewswire,Anika Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),"BEDFORD, Mass., June 05, 2025 (GLOBE NEWSWIRE) -- Anika Therapeutics, Inc.
 (NASDAQ: ANIK), a global leader in the osteoarthritis pain management and regenerative solutions spaces focused on early intervention orthopedics, today announced that on June 2, 202…",2025-06-05T21:00:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094813/28467/en/Anika-Reports-Inducement-Grants-Under-Nasdaq-Listing-Rule-5635-c-4.html
GlobeNewswire,VEON Progresses in Kyivstar Group’s Nasdaq Listing with the Public Filing of Registration Statement on Form F-4,"Dubai and Kyiv, June 5, 2025 – VEON Ltd. (Nasdaq: VEON) (“VEON”), a global digital operator, announces the public filing of a registration statement on Form F-4 (the “Registration Statement”) with the U.S. Securities and Exchange Commission (“SEC”) in connect…",2025-06-05T21:00:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094811/0/en/VEON-Progresses-in-Kyivstar-Group-s-Nasdaq-Listing-with-the-Public-Filing-of-Registration-Statement-on-Form-F-4.html
GlobeNewswire,Kyivstar Group Reports First Quarter 2025 Financial Results in Conjunction with its Nasdaq Listing Process,"KYIV, Ukraine, June 5, 2025 – Kyivstar Group, Ukraine’s leading digital operator (“Kyivstar Group” or “the Company”) and a subsidiary of VEON Ltd. (Nasdaq: VEON) (“VEON Group” or “VEON”), today announced its unaudited financial and operating results for the f…",2025-06-05T21:00:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094810/0/en/Kyivstar-Group-Reports-First-Quarter-2025-Financial-Results-in-Conjunction-with-its-Nasdaq-Listing-Process.html
